date,airport,inbound_flights,inbound_avg_arr_delay
2020-03-02,ANC,42,9.285714285714286
2020-03-03,ANC,42,0.7380952380952381
2020-03-04,ANC,41,-2.0
2020-03-05,ANC,43,-6.604651162790698
2020-03-06,ANC,44,-9.454545454545455
2020-03-07,ANC,39,-5.564102564102564
2020-03-08,ANC,41,4.073170731707317
2020-03-09,ANC,43,11.209302325581396
2020-03-10,ANC,40,-0.525
2020-03-11,ANC,44,5.181818181818182
2020-03-12,ANC,40,6.1
2020-03-13,ANC,41,18.51219512195122
2020-03-14,ANC,38,2.6578947368421053
2020-03-15,ANC,41,2.5365853658536586
2020-03-16,ANC,44,-2.0454545454545454
2020-03-17,ANC,42,-6.357142857142857
2020-03-18,ANC,43,4.023255813953488
2020-03-19,ANC,41,-0.2926829268292683
2020-03-20,ANC,40,2.375
2020-03-21,ANC,37,6.297297297297297
2020-03-22,ANC,39,-6.794871794871795
2020-03-23,ANC,40,-3.075
2020-03-24,ANC,37,-2.189189189189189
2020-03-25,ANC,40,-0.65
2020-03-26,ANC,34,-1.0588235294117647
2020-03-27,ANC,30,-4.1
2020-03-28,ANC,27,-7.962962962962963
2020-03-29,ANC,24,-18.375
2020-03-30,ANC,28,-15.071428571428571
2020-03-31,ANC,23,-12.608695652173912
2020-04-01,ANC,24,-9.166666666666666
2020-04-02,ANC,23,2.4782608695652173
2020-04-03,ANC,19,-5.157894736842105
2020-04-04,ANC,15,-5.2
2020-04-05,ANC,17,-3.0
2020-04-06,ANC,14,-5.214285714285714
2020-04-07,ANC,16,26.1875
2020-04-08,ANC,18,3.6666666666666665
2020-04-09,ANC,21,-10.857142857142858
2020-04-10,ANC,16,-7.5625
2020-04-11,ANC,12,-12.0
2020-04-12,ANC,10,-5.7
2020-04-13,ANC,15,-7.933333333333334
2020-04-14,ANC,14,-12.928571428571429
2020-04-15,ANC,19,-14.473684210526315
2020-04-16,ANC,16,-11.0
2020-04-17,ANC,16,-9.0625
2020-04-18,ANC,12,7.416666666666667
2020-04-19,ANC,9,-22.0
2020-04-20,ANC,16,-9.375
2020-04-21,ANC,15,-11.0
2020-04-22,ANC,18,-11.833333333333334
2020-04-23,ANC,17,-13.823529411764707
2020-04-24,ANC,16,-15.25
2020-04-25,ANC,10,-21.2
2020-04-26,ANC,11,-24.545454545454547
2020-04-27,ANC,18,-7.5
2020-04-28,ANC,16,-21.4375
2020-04-29,ANC,19,-18.894736842105264
2020-04-30,ANC,17,-18.41176470588235
2020-05-01,ANC,17,-12.764705882352942
2020-05-02,ANC,12,-9.583333333333334
2020-05-03,ANC,9,-23.22222222222222
2020-05-04,ANC,16,-14.5625
2020-05-05,ANC,17,-13.941176470588236
2020-05-06,ANC,19,-14.578947368421053
2020-05-07,ANC,18,-14.666666666666666
2020-05-08,ANC,18,-15.61111111111111
2020-05-09,ANC,13,-20.076923076923077
2020-05-10,ANC,10,-24.1
2020-05-11,ANC,16,-10.375
2020-05-12,ANC,17,-10.352941176470589
2020-05-13,ANC,19,-13.736842105263158
2020-05-14,ANC,18,-9.0
2020-05-15,ANC,19,-4.315789473684211
2020-05-16,ANC,13,-11.461538461538462
